P241	Q705738	Q9212
P2554	Q842073	Q589483
P166_P1686_P453	Q29055	Q10761808	Q186323	Q5651141
P106	Q362353	Q1028181
P1303	Q451076	Q128309
P31	Q9402	Q28640
P106	Q335680	Q28389
P106	Q392	Q1028181
P166	Q8743	Q3141777
P4312	Q53922	Q2918907
P166	Q3520670	Q3775029
P355	Q34433	Q81162
P161	Q438406	Q1145528
P2293_P459_P459	Q11085	Q18035435	Q1098876	Q23190853
P1346_P1686	Q1419495	Q191064	Q1171481
P31	Q116485	Q23002039
P31	Q3595480	Q5
P1411	Q1130799	Q3473897
P2643	Q7691246	Q23597529
P21	Q95089	Q6581072
P106	Q410	Q1622272
P69	Q943028	Q49165
P1303	Q202246	Q5994
P69	Q40124	Q49114
P31	Q281404	Q5
P485	Q842909	Q8033379
P463	Q1150105	Q4810036
P161	Q635632	Q14918002
P161	Q199853	Q238029
P31	Q622668	Q6881511
P106	Q76409	Q482980
P1411	Q313092	Q15692068
P106	Q384004	Q36180
P802	Q154770	Q90965
P161	Q3984794	Q314805
P21	Q354033	Q6581097
P69	Q83906	Q5386547
P106	Q779151	Q2526255
P69	Q240933	Q49088
P20	Q191819	Q200942
P106	Q2599	Q3282637
P106	Q223875	Q36180
P463	Q49206	Q4810036
P2936	Q1191	Q21154926
P161	Q19570	Q349857
P69	Q182665	Q230492
P69	Q352748	Q7247941
P22	Q3630005	Q1686232
P31	Q311744	Q5
P1411_P1686	Q184697	Q904344	Q1117936
P21	Q3502206	Q6581072
P1411	Q309941	Q917008
P1303	Q1373347	Q302497
P21	Q296028	Q6581097
P106	Q3053268	Q130857
P106	Q597433	Q488205
P1343	Q7302	Q1573212
P1853	Q979312	Q19831453
P1343	Q188626	Q1145552
P31	Q274562	Q5
P69	Q148234	Q1432645
P463	Q503415	Q756355
P106	Q298726	Q486748
P2643	Q7566644	Q23335494
P106	Q336865	Q2259451
P106	Q5603	Q1028181
P166	Q272946	Q1131356
P21	Q8006	Q6581097
P2293_P459_P459	Q12174	Q20785768	Q1098876	Q23190853
P1346_P1686	Q2544851	Q228650	Q2521361
P31	Q11901	Q5
P166	Q517	Q15117228
P2293_P459_P459	Q131755	Q18027078	Q1098876	Q23190853
P106	Q184249	Q5716684
P509	Q104340	Q181257
P264	Q312053	Q277626
P31	Q28389	Q4220920
P106	Q175104	Q28389
P31	Q12195	Q12136
P1344	Q42267	Q160813
P161_P453	Q218035	Q296505	Q5108300
P166	Q208408	Q1150306
P1411	Q1002100	Q1653137
P264	Q182725	Q726251
P106	Q11817	Q82955
P31	Q11081	Q12136
P106	Q44176	Q10798782
P1411	Q1146194	Q4220900
P161	Q19570	Q24057
P106	Q486740	Q947873
P106	Q356129	Q10800557
P1346_P1686	Q847054	Q1137304	Q2566532
P2643	Q1379613	Q23623483
P264	Q192936	Q183412
P166	Q481832	Q105447
P749	Q11218	Q742787
P1303	Q208881	Q17172850
P166_P1346	Q117396	Q3025728	Q43380
P106	Q597433	Q3282637
P31	Q616591	Q189004
P1343	Q209727	Q2657718
P1411	Q1132439	Q3473898
P21	Q39246	Q6581097
P2293_P459_P459	Q12174	Q15316617	Q1098876	Q23190853
P31	Q366643	Q5
P161	Q155629	Q434111
P2293_P459_P459	Q35869	Q18027836	Q1098876	Q23190853
P2293_P459_P459	Q187255	Q18032818	Q1098876	Q23190853
P106	Q60422	Q10798782
P106	Q254886	Q2259451
P161	Q1030713	Q320945
P166	Q11617	Q4744490
P463	Q188969	Q463303
P166_P1686	Q210059	Q622813	Q1168659
P69	Q3952813	Q1179599
P106	Q191966	Q33999
P2936	Q1186	Q19573111
P106	Q229775	Q10798782
P106	Q210200	Q10798782
P106	Q636	Q674067
P1340	Q211082	Q17122834
P166	Q105460	Q18149622
P2643	Q1521725	Q23662486
P166_P805_P1686	Q53004	Q1966051	Q16581115	Q172837
P31	Q436638	Q5
P31	Q5235388	Q5
P166	Q223091	Q12201477
P161	Q244803	Q1436846
P31	Q462327	Q5
P31	Q2410088	Q5
P1889	Q2526255	Q222344
P1343	Q1186	Q2657718
P166_P1686	Q228739	Q1287335	Q212135
P106	Q4013057	Q10800557
P1830	Q34433	Q217595
P264	Q42482	Q216364
P106	Q114447	Q10800557
P1411_P1686	Q633	Q6314039	Q115151
P166	Q230739	Q838121
P1344	Q207337	Q170645
P106	Q176323	Q10798782
P166	Q223303	Q2038247
P31	Q154804	Q875538
P106	Q23517	Q18545066
P31	Q356305	Q5
P161	Q390120	Q981821
P2643	Q861888	Q23663133
P21	Q41585	Q6581097
P2643	Q1079140	Q23662487
P509	Q966018	Q47912
P106	Q1651279	Q33999
P607	Q11218	Q37643
P2643	Q1249251	Q23662431
P69	Q240933	Q167733
P31	Q2386070	Q1542343
P241	Q11817	Q9212
P31	Q3884	Q35127
P361	Q9212	Q11211
P641	Q267088	Q41323
P2936	Q1191	Q6377671
P31	Q748780	Q198
P106	Q2631586	Q10800557
P2293_P459_P459	Q12174	Q18029805	Q1098876	Q23190853
P1411_P2453_P805	Q205028	Q1257399	Q34436	Q1637342
P106	Q910486	Q245068
P1830	Q158745	Q1156894
P106	Q1685654	Q3501317
P106	Q125904	Q1930187
P1889	Q11635	Q24354
P161	Q572903	Q207197
P2643	Q498526	Q23335394
P1411_P1686	Q201994	Q977915	Q149358
P1343	Q43407	Q2657718
P2643	Q664881	Q23336065
P2643	Q2698482	Q23662432
P31	Q1638207	Q40024
P800	Q7349	Q44042
P101	Q180453	Q207628
P106	Q316454	Q36834
P69	Q72614	Q4614
P1343	Q133485	Q2657718
P161	Q464252	Q456433
P1346_P1686	Q5894560	Q470104	Q2131368
P161	Q804434	Q2642437
P106	Q1452569	Q19204627
P1853	Q418736	Q19831451
P31	Q5891	Q11862829
P106	Q228862	Q33999
P264	Q185465	Q203059
P463	Q76473	Q37033
P5008	Q8676	Q5460604
P1343	Q10225	Q2657718
P106	Q44410	Q28389
P2643	Q1191344	Q23622771
P106	Q276525	Q36180
P725	Q2121056	Q983873
P166	Q117396	Q135498
P1303	Q213793	Q6607
P412	Q222071	Q37137
P106	Q376107	Q222344
P106	Q4717090	Q3282637
P166	Q159778	Q1011547
P166	Q230151	Q131454
P5008	Q7604	Q5460604
P69	Q1808004	Q49167
P106	Q219512	Q10800557
P166_P805_P1686	Q282722	Q1422140	Q180813	Q1952928
P2936	Q1164	Q34778
P264	Q7346	Q202440
P106	Q2849121	Q2526255
P69	Q16296	Q608723
P1411	Q1030713	Q5243445
P161	Q23558	Q201181
P106	Q129591	Q10800557
P710	Q33143	Q156199
P2643	Q49207	Q23662487
P1037	Q127552	Q93161
P161	Q19570	Q242717
P1343	Q9682	Q17378135
P161	Q4529	Q1372187
P279	Q7140693	Q4164871
P161	Q500460	Q18992
P21	Q339896	Q6581097
P31	Q299228	Q5
P106	Q316844	Q3282637
P2643	Q1346110	Q23662432
P2643	Q49088	Q23622831
P106	Q269500	Q386854
P21	Q81328	Q6581097
P106	Q210059	Q20870256
P106	Q311672	Q488205
P69	Q26378	Q174710
P463	Q1476484	Q5583848
P106	Q323201	Q3282637
P1411	Q180453	Q5305717
P1346_P1686	Q922348	Q484523	Q3520498
P31	Q328857	Q5
P21	Q3018199	Q6581097
P264	Q188713	Q330629
P31	Q444366	Q5
P69	Q959863	Q1144673
P2936	Q1185	Q5310792
P106	Q336640	Q28389
P106	Q242717	Q10800557
P161	Q212156	Q349928
P2293_P459_P459	Q181923	Q4039195	Q1098876	Q23190853
P106	Q232910	Q2259451
P69	Q1077635	Q7895938
P69	Q313246	Q503419
P106	Q447960	Q10798782
P161	Q1212139	Q497851
P31	Q6763645	Q5
P69	Q454819	Q248970
P21	Q313243	Q6581097
P106	Q72869	Q3282637
P264	Q706332	Q2386070
P106	Q229042	Q10798782
P31	Q507269	Q6881511
P166	Q19673	Q1158951
P2643	Q1026925	Q23662768
P21	Q3345031	Q6581097
P106	Q161877	Q36834
P106	Q2005146	Q13235160
P166	Q156193	Q18507211
P101	Q181683	Q207628
P166	Q39212	Q17144
P1346_P1686	Q112243	Q966018	Q2642334
P161	Q1139311	Q213793
P22	Q162959	Q4253122
P31	Q315763	Q5
P31	Q930291	Q23002054
P725	Q8822	Q459532
P264	Q44648	Q557632
P1303	Q276005	Q17172850
P31	Q1247241	Q5398426
P1303	Q527853	Q9798
P106	Q269869	Q28389
P20	Q365090	Q1370207
P31	Q324523	Q17156793
P161	Q24075	Q661591
P166	Q6607	Q48757486
P1346_P1686	Q922273	Q481832	Q565009
P106	Q229211	Q245068
P161	Q117396	Q1319793
P69	Q9391	Q867530
P1346_P1686	Q257235	Q103578	Q833299
P166	Q465826	Q2603393
P800	Q234700	Q2719299
P161	Q2842976	Q234695
P69	Q356109	Q4614
P1411	Q131805	Q37922
P31	Q1411222	Q23002039
P1346_P1686	Q2529789	Q314945	Q23733
P2293_P459_P459	Q181257	Q18052459	Q1098876	Q23190853
P166_P1686	Q207852	Q1268927	Q280918
P725	Q210311	Q257165
P1889	Q19673	Q577160
P21	Q2531955	Q6581097
P31	Q638859	Q3918
P1344	Q184387	Q131591
P161	Q1030713	Q2964670
P166	Q260125	Q1111310
P264	Q354033	Q843402
P161	Q3984794	Q270079
P26	Q313522	Q228650
P69	Q229577	Q7060402
P166	Q1124	Q6077245
P21	Q355300	Q6581097
P69	Q230131	Q7060402
P106	Q1384822	Q10798782
P106	Q921204	Q36834
P1303	Q127330	Q52954
P1346_P1686	Q1056265	Q316610	Q7719408
P509	Q162389	Q181754
P279	Q8078	Q5891
P69	Q80760	Q4614
P31	Q279305	Q5
P106	Q316709	Q3282637
P166	Q8006	Q163700
P6364	Q47762	Q219660
P31	Q1256981	Q23002039
P21	Q213864	Q6581097
P106	Q1312577	Q222344
P2643	Q1466001	Q23662432
P2936	Q3206	Q1284885
P725	Q8822	Q232101
P69	Q150482	Q309331
P69	Q4617	Q5756639
P412	Q219631	Q31687
P264	Q298726	Q726251
P2293_P459_P459	Q8277	Q18032316	Q1098876	Q23190853
P106	Q238912	Q10798782
P2094	Q42267	Q35554451
P106	Q299314	Q2259451
P1303	Q44570	Q6607
P749	Q863813	Q1140241
P106	Q273210	Q214917
P166	Q80019	Q48757486
P106	Q228909	Q4610556
P2643	Q1138384	Q23662486
P21	Q373968	Q6581097
P106	Q80405	Q2259451
P106	Q189694	Q2259451
P161	Q244803	Q608709
P2293_P459_P459	Q41861	Q4654809	Q1098876	Q23190853
P106	Q338812	Q36180
P106	Q561809	Q2629392
P1303	Q201562	Q17172850
P166	Q5879	Q10855195
P1411	Q244803	Q1285970
P463	Q317784	Q43267
P355	Q122141	Q2529841
P264	Q183048	Q193023
P264	Q185165	Q2338889
P2643	Q4682076	Q23623487
P106	Q443585	Q10798782
P106	Q726130	Q2259451
P166	Q193300	Q2687578
P749	Q1644016	Q21077
P101	Q37160	Q5891
P1411	Q2085	Q7243507
P166	Q6722	Q15631401
P106	Q314424	Q36834
P26	Q38757	Q60528
P166	Q333443	Q37049
P21	Q597433	Q6581097
P166	Q108597	Q935843
P1376	Q947115	Q507078
P31	Q299208	Q5
P1346_P1686	Q549884	Q316788	Q27946225
P2643	Q9219	Q23662762
P2936	Q1445	Q13292
P166	Q2400678	Q1415017
P264	Q213512	Q193023
P106	Q184103	Q3282637
P21	Q20178	Q6581097
P31	Q795988	Q3918
P106	Q237530	Q130857
P166	Q234700	Q901462
P31	Q3045762	Q1044427
P1411_P1686	Q11617	Q4835477	Q899169
P2643	Q1887879	Q23334993
P106	Q173585	Q4610556
P106	Q343633	Q10800557
P2643	Q1472663	Q23622707
P106	Q448235	Q386854
P166	Q159778	Q56085709
P26	Q313841	Q3048766
P641	Q927916	Q185851
P264	Q551478	Q216364
P106	Q229369	Q18844224
P264	Q187832	Q216364
P161	Q23609	Q726130
P264	Q5105	Q216364
P1343	Q1164	Q2657718
P106	Q463617	Q3282637
P31	Q499644	Q5
P106	Q190994	Q10800557
P106	Q310819	Q15855449
P166	Q181900	Q1150306
P2293_P459_P459	Q128581	Q18030586	Q1098876	Q23190853
P1346_P1686	Q255032	Q268371	Q782075
P1303	Q337521	Q17172850
P106	Q14540	Q8178443
P2643	Q2698482	Q23662483
P106	Q1069140	Q55960555
P161	Q223977	Q23301696
P31	Q366956	Q5
P106	Q125904	Q28389
P725	Q8822	Q188492
P161	Q168708	Q19981241
P106	Q105941	Q10798782
P106	Q386053	Q28389
P26	Q299282	Q1769264
P1303	Q460852	Q6607
P412	Q120533	Q30903
P161	Q147235	Q261104
P170	Q912437	Q2438400
P21	Q25973	Q6581097
P106	Q439315	Q36834
P106	Q467423	Q36834
P161	Q2842976	Q3056247
P31	Q183412	Q6881511
P106	Q1906085	Q28389
P106	Q726130	Q3282637
P31	Q170314	Q198
P1303	Q171905	Q5994
P2936	Q1164	Q7292878
P106	Q215366	Q36180
P1344	Q207441	Q47735
P31	Q312559	Q5
P31	Q919999	Q40024
P106	Q232052	Q10800557
P135	Q7302	Q8361
P106	Q83484	Q36180
P106	Q30876	Q28389
P31	Q1047293	Q3918
P166	Q168721	Q13452524
P166	Q484881	Q123737
P31	Q1887879	Q3918
P106	Q313841	Q28389
P69	Q3630005	Q3631441
P161	Q321423	Q2434354
P166	Q2685	Q10855271
P161	Q23558	Q16148950
P106	Q196560	Q28389
P166_P1686	Q217110	Q255032	Q2291295
P1303	Q152505	Q5994
P31	Q299282	Q5
P31	Q194333	Q5
P106	Q104081	Q2722764
P2293_P459_P459	Q12174	Q18058955	Q1098876	Q23190853
P463	Q863813	Q5059850
P161	Q24075	Q229211
P106	Q287977	Q15981151
P1411	Q186219	Q3062632
P106	Q318509	Q2722764
P106	Q320204	Q948329
P21	Q53004	Q6581097
P101	Q3918	Q136822
P106	Q180975	Q943995
P31	Q1026919	Q3918
P106	Q369174	Q10800557
P2643	Q1109093	Q23662734
P21	Q612167	Q6581097
P166	Q446717	Q945887
P106	Q1333734	Q36180
P355	Q43380	Q4354137
P161	Q467076	Q236527
P1346_P1686	Q209459	Q55430	Q644174
P161	Q56194	Q375590
P2293_P459_P459	Q35869	Q18039623	Q1098876	Q23190853
P1830	Q15574	Q56433517
P106	Q471003	Q3282637
P166	Q624611	Q3019365
P1303	Q364875	Q133163
P2643	Q992830	Q23335394
P106	Q48410	Q2526255
P2643	Q634396	Q23623479
P106	Q185465	Q36834
P1303	Q910486	Q17172850
P166	Q342533	Q10762848
P161	Q168708	Q155378
P166	Q127417	Q1754110
P2643	Q2982991	Q23662734
P131	Q1538	Q1191
P750	Q1002100	Q1323594
P166	Q150851	Q1994926
P31	Q504805	Q5
P106	Q228792	Q10800557
P355	Q170027	Q734266
P2643	Q2001231	Q23662416
P161	Q847646	Q185122
P2643	Q49213	Q23662768
P1346_P1686	Q2295041	Q514527	Q18154496
P161	Q23558	Q1549708
P106	Q489	Q10798782
P361	Q2090893	Q754655
P106	Q517137	Q2526255
P106	Q230383	Q10800557
P106	Q313256	Q28389
P106	Q457497	Q36180
P1303	Q295817	Q8355
P106	Q23359	Q10798782
P161	Q1002100	Q3832035
P106	Q231648	Q10800557
P161	Q19570	Q233546
P21	Q266670	Q6581072
P361	Q154697	Q33143
P166	Q53680	Q1044427
P800	Q349350	Q11622
P69	Q394607	Q309350
P2643	Q556098	Q23623487
P31	Q363019	Q5
P106	Q1857066	Q822146
P161	Q23558	Q549948
P106	Q183337	Q3455803
P31	Q2569995	Q5
P463	Q41585	Q253439
P1411_P1686	Q335672	Q3045762	Q1164742
P2643	Q1468607	Q23622771
P106	Q231595	Q2259451
P106	Q1134799	Q578109
P5008	Q11460	Q5460604
P31	Q1420239	Q23002039
P2293_P459_P459	Q3025883	Q17912672	Q1098876	Q23190853
P161	Q321423	Q7647581
P31	Q943028	Q5
P106	Q4119	Q28389
P1411_P1686	Q4960	Q7669610	Q34659
P1411_P1686	Q309941	Q1543426	Q218567
P166	Q216288	Q16963163
P1303	Q312053	Q105891
P463	Q13894	Q812155
P1884	Q228925	Q2367101
P1346_P1686	Q2981152	Q14540	Q13979
P106	Q309941	Q10800557
P161_P453	Q218035	Q201842	Q4886732
P1411	Q193659	Q918660
P31	Q351055	Q5
P2293_P459_P459	Q12174	Q18031549	Q1098876	Q23190853
P106	Q347461	Q36180
P2293_P459_P459	Q12174	Q18037120	Q1098876	Q23190853
P641	Q324523	Q41323
P463	Q190080	Q19861084
P1346_P1686	Q840286	Q106275	Q1214594
P106	Q676094	Q10798782
P31	Q233466	Q5
P2643	Q634396	Q23662431
P106	Q230739	Q578109
P21	Q939079	Q6581097
P106	Q365090	Q2066131
P21	Q1043824	Q6581097
P31	Q40248	Q5
P1411	Q315087	Q8038467
P21	Q561133	Q6581097
P2643	Q860527	Q23662416
P1343	Q12206	Q2657718
P106	Q4381016	Q639669
P2643	Q1230739	Q23623483
P161	Q32450	Q235546
P21	Q542484	Q6581097
P21	Q94123	Q6581097
P2643	Q1068752	Q23622828
P31	Q733498	Q5398426
P1303	Q834621	Q6607
P161	Q117396	Q237356
P69	Q544465	Q8008661
P106	Q229059	Q2259451
P21	Q276425	Q6581097
P1344	Q83459	Q131075
P106	Q80135	Q36180
P21	Q721922	Q6581097
P21	Q636	Q6581072
P106	Q528496	Q10800557
P31	Q217573	Q5
P161	Q2085	Q16237568
P106	Q231163	Q10800557
P166_P1686	Q216288	Q19859744	Q7769173
P31	Q238101	Q23002039
P106	Q254205	Q10800557
P1411_P1686	Q374065	Q165313	Q1460394
P106	Q102551	Q189290
P2643	Q1782948	Q23662426
P106	Q357515	Q33999
P166	Q316313	Q3405170
P1303	Q202729	Q5994
P161_P453	Q2085	Q229993	Q1089332
P166	Q104049	Q41254
P735_P3831	Q375792	Q2256715	Q3409033
P166	Q1325	Q17144
P166_P1686	Q105825	Q506565	Q300439
P106	Q1190693	Q10800557
P1411	Q298761	Q3405409
P2293_P459_P459	Q12174	Q18037060	Q1098876	Q23190853
P1411	Q8539	Q7669610
P1346_P1686	Q2294705	Q230308	Q1872476
P463	Q1024426	Q4810036
P5008	Q11404	Q5460604
P166	Q228747	Q28470
P161	Q223977	Q2829373
P106	Q214309	Q10800557
P106	Q228925	Q10798782
P161	Q19570	Q940699
P26	Q55221	Q230958
P725	Q2121056	Q236434
P106	Q228909	Q488205
P21	Q380237	Q6581097
P463	Q168751	Q756355
P509	Q48983	Q181257
P161	Q19570	Q447960
P101	Q183337	Q832237
P161	Q147235	Q433138
P106	Q184249	Q488205
P106	Q236527	Q10798782
P106	Q419466	Q36180
P106	Q219772	Q12800682
P106	Q319374	Q19723482
P103	Q154519	Q9035
P166	Q194419	Q833163
P1411	Q313185	Q549884
P166	Q298761	Q8035829
P2293_P459_P459	Q131755	Q18037897	Q1098876	Q23190853
P106	Q41449	Q639669
P463	Q35794	Q35677307
P2293_P459_P459	Q8277	Q18057719	Q1098876	Q23190853
P106	Q95026	Q10798782
P1346_P1686	Q2529789	Q436686	Q212135
P69	Q463673	Q178848
P31	Q1393265	Q23002054
P162	Q31426	Q172303
P1830	Q3884	Q5151724
P1411	Q220883	Q1056265
P106	Q275900	Q1415090
P131	Q1419737	Q23311
P607	Q127417	Q696251
P2643	Q1805145	Q23335394
P106	Q107656	Q5716684
P166	Q55469	Q1011547
P106	Q463617	Q10798782
P106	Q210741	Q488205
P69	Q962103	Q1144673
P31	Q657222	Q23002054
P106	Q1516734	Q10798782
P509	Q375792	Q47912
P106	Q362353	Q36180
P106	Q223303	Q10798782
P1343	Q27686	Q2657718
P1343	Q48403	Q2657718
P106	Q286717	Q2259451
P69	Q155879	Q248970
P800	Q150482	Q15648198
P106	Q131725	Q16003550
P2936	Q1186	Q16841033
P1830	Q23	Q19568889
P21	Q361431	Q6581097
P161	Q223977	Q60802
P412	Q202550	Q37137
P161	Q1030713	Q439457
P21	Q7489431	Q6581097
P106	Q469945	Q2526255
P21	Q41422	Q6581097
P21	Q257065	Q6581072
P1303	Q323467	Q17172850
P166	Q47059	Q30132541
P31	Q163263	Q5
P279	Q5322166	Q2500638
P106	Q42229	Q36180
P106	Q180962	Q36180
P161	Q168708	Q595638
P106	Q213512	Q13235160
P106	Q514913	Q33999
P31	Q188401	Q5
P106	Q272076	Q18844224
P1346_P1686	Q2090893	Q16204354	Q17001721
P69	Q12969418	Q5189332
P31	Q1164	Q13390680
P1327	Q44410	Q44414
P161	Q32450	Q5343929
P31	Q156725	Q875538
P2643	Q1472663	Q23662768
P106	Q355009	Q36834
P106	Q313047	Q2259451
P1343	Q44414	Q58488719
P21	Q297173	Q6581097
P106	Q191966	Q2259451
P1343	Q79025	Q17378135
P106	Q230131	Q10800557
P69	Q464232	Q1150105
P106	Q193300	Q5322166
P2643	Q4682076	Q23334993
P106	Q255268	Q10800557
P1343	Q1174	Q2657718
P69	Q979990	Q179036
P69	Q2656047	Q49167
P106	Q726130	Q2526255
P2643	Q178848	Q23662768
P1411_P1686	Q208590	Q977915	Q921282
P2643	Q49119	Q23662487
P31	Q7299451	Q5
P750	Q194427	Q1156642
P106	Q58735	Q12362622
P166	Q410	Q14705795
P161	Q160060	Q960494
P463	Q392	Q463303
P31	Q2090893	Q378427
P31	Q618329	Q5398426
P106	Q296491	Q10798782
P161	Q117396	Q456156
P161	Q2085	Q29086
P69	Q526173	Q1026925
P166_P1686	Q347461	Q549884	Q7739362
P1344_P2868	Q355009	Q54370683	Q639669
P106	Q25186	Q7042855
P5008	Q7349	Q5460604
P166	Q216288	Q18149622
P106	Q313193	Q3330547
P106	Q308840	Q11296761
P31	Q143223	Q5
P2293_P459_P459	Q12174	Q18040397	Q1098876	Q23190853
P1344	Q184612	Q47735
P2643	Q738258	Q23334765
P166	Q25120	Q1526935
P106	Q229545	Q4610556
P5008	Q11451	Q5460604
P2936	Q3206	Q62000004
P106	Q316709	Q36834
P2293_P459_P459	Q1472	Q14912019	Q1098876	Q23190853
P749	Q969850	Q1140241
P161	Q147235	Q3936377
P463	Q1150105	Q5059850
P106	Q459925	Q10798782
P509	Q645627	Q12136
P355	Q170027	Q1202039
P106	Q381934	Q28389
P463	Q1797768	Q5059850
P102	Q466502	Q5020915
P69	Q514527	Q8047423
P1343	Q7349	Q17329836
P31	Q445116	Q5
P2643	Q897052	Q23662479
P279	Q11420	Q11417
P106	Q359969	Q28389
P106	Q329700	Q36180
P166	Q234883	Q10762848
P106	Q103578	Q10798782
P106	Q123849	Q131524
P2643	Q309350	Q23334765
P106	Q231595	Q10798782
P1343	Q924668	Q1145552
P106	Q23517	Q2722764
P800	Q125904	Q208572
P264	Q240523	Q1193843
P5008	Q41585	Q5460604
P161	Q117396	Q461309
P1411	Q223367	Q463085
P106	Q560163	Q2259451
P21	Q957347	Q6581097
P1340	Q234551	Q17122834
P106	Q183141	Q10800557
P2936	Q1445	Q34042
P69	Q115055	Q1033692
P166	Q40912	Q5593916
P21	Q517137	Q6581097
P166	Q410	Q20892672
P106	Q286410	Q486748
P106	Q238924	Q10798782
P166_P1346_P1346	Q1146861	Q6500795	Q3703386	Q1806065
P451	Q178010	Q229477
P31	Q3595806	Q5
P1303	Q207197	Q46185
P106	Q182665	Q33999
P31	Q4359408	Q23002039
P101	Q8743	Q81096
P161	Q870490	Q707410
P2293_P459_P459	Q181923	Q14865010	Q1098876	Q23190853
P106	Q677439	Q10800557
P264	Q27593	Q202440
P1303	Q256884	Q17172850
P101	Q230601	Q207628
P166_P805_P1686	Q270672	Q17500983	Q15901330	Q7304966
P31	Q5243456	Q618779
P31	Q7575916	Q1620945
P106	Q455743	Q36180
P2643	Q9219	Q23336065
P2936	Q1174	Q35243
P166_P1686	Q220883	Q1056265	Q16385825
P106	Q132893	Q3665646
P1303	Q460876	Q17172850
P1303	Q465636	Q6607
P2293_P459_P459	Q131755	Q18040277	Q1098876	Q23190853
P1346_P1686	Q840286	Q106907	Q18405
P161	Q13979	Q105221
P166	Q186896	Q1011547
P166	Q549981	Q451842
P1411_P1686	Q347461	Q3405409	Q7739362
P166	Q213512	Q17144
P69	Q503997	Q49116
P2643	Q1472663	Q23334765
P1343	Q122043	Q2657718
P106	Q311263	Q33999
P106	Q231472	Q488205
P5008	Q9174	Q5460604
P1303	Q298726	Q9798
P31	Q272203	Q5
P69	Q150851	Q432637
P31	Q297079	Q5
P161	Q244803	Q302650
P241	Q155378	Q11218
P106	Q358990	Q2259451
P31	Q225654	Q5
P161	Q1030713	Q233085
P161	Q223977	Q24054446
P106	Q51564	Q10798782
P131	Q238101	Q28848
P31	Q142392	Q378427
P463	Q984115	Q544121
P166_P1686	Q217110	Q2576795	Q2291295
P161	Q23558	Q229069
P463	Q76473	Q19861084
P2293_P459_P459	Q181257	Q18036643	Q1098876	Q23190853
P106	Q160432	Q33999
P106	Q313193	Q33999
P509	Q368831	Q12192
P161	Q147235	Q8349
P106	Q323467	Q584301
P106	Q286777	Q2259451
P69	Q312878	Q5383283
P106	Q465695	Q947873
P1343	Q7199	Q17378135
P69	Q1687736	Q981195
P1346_P1686	Q548389	Q203804	Q1141727
P264	Q378858	Q1130708
P21	Q432362	Q6581097
P2293_P459_P459	Q1485	Q18028466	Q1098876	Q23190853
P69	Q705738	Q4682076
P1303	Q23301	Q17172850
P106	Q239069	Q2259451
P106	Q83396	Q36180
P106	Q178348	Q3282637
P2643	Q1026932	Q23623483
P101	Q191819	Q6989196
P166	Q184697	Q3753203
P1411	Q3577037	Q583972
P106	Q572004	Q214917
P1411	Q1168760	Q1257501
P101	Q8011	Q8078
P161	Q147235	Q549562
P31	Q9585	Q1192063
P361	Q266012	Q194285
P1884	Q257286	Q2367101
P106	Q362332	Q2259451
P2643	Q1468607	Q23623487
P725	Q210311	Q314805
P1343	Q191000	Q2657718
P106	Q264603	Q11481802
P1411	Q1168760	Q989449
P2643	Q15142	Q23662433
P31	Q435241	Q5
P166	Q173585	Q56085709
P1411	Q543581	Q548389
P1303	Q363019	Q6607
P69	Q2741850	Q1335573
P279	Q1323191	Q3406858
P31	Q131252	Q23002054
P31	Q210428	Q5
P1303	Q323467	Q8345
P463	Q49212	Q19861084
P31	Q2610941	Q5398426
P166	Q8023	Q185493
P106	Q237194	Q36180
P6275	Q392	Q7389867
P106	Q277978	Q3282637
P264	Q587361	Q216364
P2643	Q1782948	Q23662490
P106	Q152768	Q158852
P2293_P459_P459	Q1485	Q18038244	Q1098876	Q23190853
P106	Q72756	Q28389
P166_P1686	Q106685	Q24137	Q1165071
P463	Q1474019	Q19861084
P106	Q350422	Q13235160
P161	Q189267	Q270743
P31	Q1989585	Q5
P106	Q316844	Q1930187
P106	Q558143	Q266569
P106	Q122020	Q131524
P2643	Q1033692	Q23662689
P2094	Q270181	Q35554451
P106	Q313013	Q1643514
P26	Q131332	Q503997
P31	Q221468	Q5
P106	Q148234	Q18844224
P161	Q1071958	Q267097
P161	Q19570	Q18684392
P69	Q131805	Q193727
P279	Q81982	Q230262
P106	Q372921	Q36180
P161_P453	Q23558	Q2301339	Q2081706
P166_P1686	Q106685	Q1868927	Q959682
P69	Q105960	Q389336
P161	Q212156	Q371786
P161	Q32450	Q237244
P58	Q543581	Q4877396
P279	Q81982	Q4951628
P106	Q575795	Q10800557
P161	Q223977	Q232171
P2643	Q1446181	Q23335394
P166	Q214582	Q6053779
P106	Q272935	Q2259451
P161	Q223977	Q3157229
P106	Q298694	Q28389
P2643	Q149990	Q23662758
P31	Q1026868	Q23002039
P31	Q887614	Q5
P106	Q47899	Q36180
P279	Q484876	Q25713832
P725	Q210311	Q235519
P2643	Q681025	Q23622771
P2293_P459_P459	Q12174	Q18031156	Q1098876	Q23190853
P1050	Q308840	Q131755
P106	Q2615641	Q2526255
P106	Q979312	Q36834
P2094	Q170403	Q35554451
P166_P1686	Q485557	Q492578	Q106819
P31	Q81965	Q6881511
P2293_P459_P459	Q131755	Q18040759	Q1098876	Q23190853
P31	Q183347	Q5
P31	Q313246	Q5
